ts(ms),x(cm),y(cm),phi(degrees),v(m/s),lookAhead,lookAheadX(cm),lookAheadY(cm)
108.676,806.3638916015625,281.8182373046875,-3.2893693177164547,10,10,838,280
207.007,904.5328893009291,276.1761231883512,-1.3933398993513717,10.0,12,994,274
305.241,1002.7378437704764,273.7874679947016,-2.0932936204912322,10.0,13,1079,271
403.574,1101.0052238016178,270.19568420175995,1.8791350355761736,10.0,14,1156,272
501.669,1199.047470619556,273.4123383470633,-11.338600021249949,10.0,15,1241,265
600.145,1295.6014581600484,254.05129328150923,6.36502936726799,10.0,16,1331,258
698.07,1392.9228258798953,264.9074901357635,-11.520412785483197,10.0,17,1417,260
796.297,1489.1709067785716,245.28988446325988,29.662261482064068,10.0,18,1515,260
894.251,1574.288785943972,293.765989529409,-51.879002127180435,10.0,19,1600,261
992.612,1635.009414652117,216.3845216557146,35.957069396050635,10.0,20,1691,257
1090.929,1714.5928165324474,274.11419023395774,-18.73546765936855,10.0,21,1768,256
1188.654,1807.1395278825341,242.72499076529175,17.008005649274658,10.0,22,1844,254
1287.114,1901.2932709851875,271.5250647193566,-22.59600117907416,10.0,23,1941,255
